~/HirewayManager$ python3 scripts/import_onet_to_db.py
2025-01-03 02:29:25,989 - INFO - Starting data import process...
2025-01-03 02:29:25,989 - INFO - Reading CSV files...
2025-01-03 02:29:26,026 - INFO - Successfully read 1016 occupations and 55120 alternative titles
2025-01-03 02:29:26,504 - INFO - Successfully connected to database
2025-01-03 02:29:26,505 - INFO - Processing major groups...
2025-01-03 02:29:26,668 - INFO - Inserted 23 major groups
2025-01-03 02:29:26,668 - INFO - Processing minor groups...
2025-01-03 02:29:26,829 - INFO - Inserted 113 minor groups
2025-01-03 02:29:26,829 - INFO - Processing alternative titles...
2025-01-03 02:29:28,749 - INFO - Processing detailed occupations...
2025-01-03 02:29:28,798 - WARNING - Duplicate SOC code found: 47-4099, skipping...
2025-01-03 02:29:28,802 - WARNING - Duplicate SOC code found: 49-9099, skipping...
2025-01-03 02:29:28,807 - WARNING - Duplicate SOC code found: 51-8013, skipping...
2025-01-03 02:29:28,807 - WARNING - Duplicate SOC code found: 51-8013, skipping...
2025-01-03 02:29:28,808 - WARNING - Duplicate SOC code found: 51-8099, skipping...
2025-01-03 02:29:28,808 - WARNING - Duplicate SOC code found: 51-9071, skipping...
2025-01-03 02:29:28,809 - WARNING - Duplicate SOC code found: 51-9195, skipping...
2025-01-03 02:29:28,809 - WARNING - Duplicate SOC code found: 51-9195, skipping...
2025-01-03 02:29:28,809 - WARNING - Duplicate SOC code found: 51-9195, skipping...
2025-01-03 02:29:28,810 - WARNING - Duplicate SOC code found: 53-1042, skipping...
2025-01-03 02:29:28,812 - WARNING - Duplicate SOC code found: 53-6051, skipping...
2025-01-03 02:29:28,812 - WARNING - Duplicate SOC code found: 53-6051, skipping...
2025-01-03 02:29:28,813 - WARNING - Duplicate SOC code found: 53-7062, skipping...
2025-01-03 02:29:30,474 - INFO - Inserted 867 detailed occupations
2025-01-03 02:29:30,533 - INFO - Successfully imported all data
 Environment updated. Reloading shell...
~/HirewayManager$ 
